refdes	dni	device	footprint	value	
G502	unknown	terminal	shield_15.6_14.6	unknown	
R559	unknown	RESISTOR	0402	50	
R558	unknown	RESISTOR	0402	50	
R555	unknown	RESISTOR	0402	50	
R553	unknown	RESISTOR	0402	50	
R556	unknown	RESISTOR	0603	68	
R554	unknown	RESISTOR	0603	68	
R552	unknown	RESISTOR	0603	68	
R551	unknown	RESISTOR	0603	68	
R702	unknown	PTC 2A	1206	unknown	
R505	unknown	RESISTOR	0402	120	
R504	unknown	RESISTOR	0402	50	
R312	unknown	RESISTOR	0402	120	
C9	unknown	CAPACITOR	0805	22u	
R311	unknown	RESISTOR	0603	10	
CONN5	unknown	CONNECTOR_5	connector5	unknown	
C710	unknown	CAPACITOR	0805	10u	
S2	unknown	SK-12D02-VG3	SK-12D02-VG3	unknown	
R12	unknown	RESISTOR	0402	50	
R609	unknown	RESISTOR	0402	470	
R608	unknown	RESISTOR	0402	470	
R607	unknown	RESISTOR	0402	470	
C622	unknown	CAPACITOR	0402	330p	
C621	unknown	CAPACITOR	0402	330p	
C620	unknown	CAPACITOR	0402	330p	
C616	unknown	CAPACITOR	0402	470n	
C613	unknown	CAPACITOR	0603	10u	
C8	unknown	CAPACITOR	0603	10u	
CONN4	unknown	BNC	custom_sma4	unknown	
R9	unknown	RESISTOR	0402	120	
R11	unknown	RESISTOR	0402	75	
R10	unknown	RESISTOR	0402	75	
R563	unknown	RESISTOR	0402	50	
C553	unknown	CAPACITOR	0402	330p	
R562	unknown	RESISTOR	0402	470	
C552	unknown	CAPACITOR	0402	330p	
R560	unknown	RESISTOR	0402	470	
C551	unknown	CAPACITOR	0402	470n	
U551	unknown	MXD8641	mxd8641	unknown	
R503	unknown	RESISTOR	0603	2.2	
C329	unknown	CAPACITOR	0402	470n	
R310	unknown	RESISTOR	0402	2.2k	
R309	unknown	RESISTOR	0402	2.2k	
C416	unknown	CAPACITOR	0402	470n	
C413	unknown	CAPACITOR	0603	10u	
R308	unknown	RESISTOR	0402	470	
C323	unknown	CAPACITOR	0402	330p	
U306	unknown	K1-1502SA-01	K1-1502SA-01	unknown	
R307	unknown	RESISTOR	0402	2.2k	
S301	unknown	dipswitch-2	dip2	unknown	
LED302	unknown	LED	0603	red	
R306	unknown	RESISTOR	0402	1.5k	
R8	unknown	RESISTOR	0402	75	
R7	unknown	RESISTOR	0402	220	
U4	unknown	xc6206-3.0	SOT23	unknown	
L601	unknown	INDUCTOR	0603_0805_2	fb	
C619	unknown	CAPACITOR	0603	10u	
L602	unknown	INDUCTOR	0603_0805_2	fb	
L401	unknown	INDUCTOR	0603_0805_2	fb	
C111	unknown	CAPACITOR	0805	22u	
R111	unknown	RESISTOR	0402	2.2k	
R112	unknown	RESISTOR	0402	10k	
C112	unknown	CAPACITOR	0805	22u	
L111	unknown	INDUCTOR	1008	2.2u	
U111	unknown	JW5211	SOT26	unknown	
CONN3	unknown	xh2.54-angled	CONNECTOR 1 2	unknown	
LED704	unknown	LED	0603	red	
LED703	unknown	LED	0603	red	
LED702	unknown	LED	0603	red	
LED701	unknown	LED	0603	red	
C709	unknown	CAPACITOR	0805	10u	
L703	unknown	INDUCTOR	0603_0805_2	fb	
L701	unknown	INDUCTOR	0603_0805_2	fb	
C706	unknown	CAPACITOR	0805	10u	
C705	unknown	CAPACITOR	0805	10u	
R701	unknown	RESISTOR	0603	2.2	
C703	1	CAPACITOR	0805	22u	
C701	unknown	CAPACITOR	0805	22u	
C704	1	CAPACITOR	0805	10u	
C702	unknown	CAPACITOR	0805	10u	
C708	unknown	CAPACITOR	0805	10u	
C707	unknown	CAPACITOR	0805	10u	
L702	unknown	INDUCTOR	1008	2.2u	
U701	unknown	IP5305	SO8_EP	unknown	
CONN2	unknown	CONNECTOR_4	connector4	unknown	
R305	unknown	RESISTOR	0402	470	
R303	unknown	RESISTOR	0402	120	
R304	unknown	RESISTOR	0402	1.5k	
C321	unknown	CAPACITOR	0603	10u	
C322	unknown	CAPACITOR	0402	470n	
U305	unknown	MXD8641	mxd8641	unknown	
C618	unknown	CAPACITOR	0402	1n	
R605	unknown	RESISTOR	0402	120	
C609	unknown	CAPACITOR	0402	1n	
R603	unknown	RESISTOR	0402	470	
R604	unknown	RESISTOR	0402	470	
C611	unknown	CAPACITOR	0402	470n	
C615	unknown	CAPACITOR	0402	10n	
C617	unknown	CAPACITOR	0402	220n	
R606	unknown	RESISTOR	0402	50	
C610	unknown	CAPACITOR	0402	470n	
C604	unknown	CAPACITOR	0402	470n	
C606	unknown	CAPACITOR	0402	220n	
LED601	unknown	LED	0603	blue	
R601	unknown	RESISTOR	0402	2.2k	
C614	1	CAPACITOR	0402	220n	
C612	unknown	CAPACITOR	0402	220n	
L604	unknown	INDUCTOR	0603	rffb	
L603	unknown	INDUCTOR	0603	rffb	
R602	unknown	RESISTOR	0402	4.7k	
C605	1	CAPACITOR	0402	330p	
C603	unknown	CAPACITOR	0402	220n	
C602	1	CAPACITOR	0402	330p	
C601	unknown	CAPACITOR	0402	220n	
C607	1	CAPACITOR	0402	330p	
C608	unknown	CAPACITOR	0402	220n	
U601	unknown	adf4350	custom_qfn32	unknown	
R6	unknown	RESISTOR	0402	470	
R5	unknown	RESISTOR	0402	220	
C6	unknown	CAPACITOR	0402	330p	
C7	unknown	CAPACITOR	0402	470n	
U3	unknown	MXD8641	mxd8641	unknown	
G501	unknown	terminal	shield_15.6_14.6	unknown	
R4	unknown	RESISTOR	0402	470	
R3	unknown	RESISTOR	0402	220	
C5	unknown	CAPACITOR	0402	330p	
C4	unknown	CAPACITOR	0402	470n	
U2	unknown	MXD8641	mxd8641	unknown	
R2	unknown	RESISTOR	0402	470	
R1	unknown	RESISTOR	0402	220	
C3	unknown	CAPACITOR	0402	330p	
C2	unknown	CAPACITOR	0402	470n	
R302	unknown	RESISTOR	0402	220	
R301	unknown	RESISTOR	0402	470	
C304	unknown	CAPACITOR	0402	330p	
C305	unknown	CAPACITOR	0402	470n	
L303	unknown	INDUCTOR	0603_0805_2	fb	
C303	unknown	CAPACITOR	0805	10u	
U1	unknown	MXD8641	mxd8641	unknown	
U301	unknown	MXD8641	mxd8641	unknown	
C1	unknown	CAPACITOR	0603	10u	
CONN1	unknown	BNC	custom_sma4	unknown	
T552	unknown	617DB-1023=P3	cx2156nl	unknown	
R557	unknown	RESISTOR	0402	50	
T551	unknown	617DB-1023=P3	cx2156nl	unknown	
G302	unknown	terminal	shield_15.6_14.6	unknown	
G301	unknown	terminal	shield_15.6_14.6	unknown	
C302	unknown	CAPACITOR	0402	470n	
R501	unknown	RESISTOR	0402	220	
R502	unknown	RESISTOR	0402	120	
C505	unknown	CAPACITOR	0603	10u	
C504	unknown	CAPACITOR	0402	470n	
C418	unknown	CAPACITOR	0402	1n	
C301	unknown	CAPACITOR	0603	10u	
U309	unknown	MXD8641	mxd8641	unknown	
C502	unknown	CAPACITOR	0805	22u	
C501	unknown	CAPACITOR	0402	220n	
U501	unknown	YSO680PR	tcxo3225	unknown	
C503	unknown	CAPACITOR	0603	10u	
U502	unknown	si5351a	MSOP10	unknown	
R405	unknown	RESISTOR	0402	120	
C409	unknown	CAPACITOR	0402	1n	
R403	unknown	RESISTOR	0402	470	
R404	unknown	RESISTOR	0402	470	
C411	unknown	CAPACITOR	0402	470n	
C415	unknown	CAPACITOR	0402	10n	
C417	unknown	CAPACITOR	0402	220n	
R406	unknown	RESISTOR	0402	50	
C410	unknown	CAPACITOR	0402	470n	
C404	unknown	CAPACITOR	0402	470n	
C406	unknown	CAPACITOR	0402	220n	
LED401	unknown	LED	0603	blue	
R401	unknown	RESISTOR	0402	2.2k	
C414	1	CAPACITOR	0402	220n	
C412	unknown	CAPACITOR	0402	220n	
L404	unknown	INDUCTOR	0603	rffb	
L403	unknown	INDUCTOR	0603	rffb	
R402	unknown	RESISTOR	0402	4.7k	
C405	1	CAPACITOR	0402	330p	
C403	unknown	CAPACITOR	0402	220n	
C402	1	CAPACITOR	0402	330p	
C401	unknown	CAPACITOR	0402	220n	
C407	1	CAPACITOR	0402	330p	
C408	unknown	CAPACITOR	0402	220n	
U401	unknown	adf4350	custom_qfn32	unknown	
R340	unknown	RESISTOR	0603	68	
R339	unknown	RESISTOR	0603	68	
R341	unknown	RESISTOR	0402	10k	
CONN303	unknown	LCD-ILI9341-2.4in	connector14	unknown	
C337	unknown	CAPACITOR	0402	1n	
R338	unknown	RESISTOR	0402	1.5k	
LED301	unknown	LED	0603	blue	
R335	unknown	RESISTOR	0402	1.5k	
CONN300	unknown	CONNECTOR_5	custom_microusb2	unknown	
C328	unknown	CAPACITOR	0402	470n	
C327	unknown	CAPACITOR	0402	470n	
C326	unknown	CAPACITOR	0402	470n	
C324	unknown	CAPACITOR	0402	10n	
R331	unknown	RESISTOR	0402	220	
C325	unknown	CAPACITOR	0603	10u	
R330	unknown	RESISTOR	0402	10k	
R329	unknown	RESISTOR	0402	10k	
C320	unknown	CAPACITOR	0402	470n	
R323	unknown	RESISTOR	0402	4.7k	
R322	unknown	RESISTOR	0402	4.7k	
R321	1	RESISTOR	0402	50	
C317	unknown	CAPACITOR	0603	10u	
C315	unknown	CAPACITOR	0603	10u	
R325	unknown	RESISTOR	0402	4.7k	
R324	unknown	RESISTOR	0402	120	
L302	unknown	INDUCTOR	0805	22u	
C318	unknown	CAPACITOR	0603	220n	
R328	unknown	RESISTOR	0402	2.2k	
U304	unknown	GS8052	SO8	unknown	
C316	unknown	CAPACITOR	0603	220n	
C312	unknown	CAPACITOR	0603	220n	
L301	unknown	INDUCTOR	0603	rffb	
L300	unknown	INDUCTOR	0603	rffb	
C314	unknown	CAPACITOR	0402	470n	
C311	unknown	CAPACITOR	0402	470n	
R319	unknown	RESISTOR	0603	10	
R317	unknown	RESISTOR	0603	10	
C307	unknown	CAPACITOR	0603	10u	
R314	unknown	RESISTOR	0402	75	
C309	unknown	CAPACITOR	0402	470n	
C310	unknown	CAPACITOR	0402	470n	
C313	unknown	CAPACITOR	0603	10u	
R315	unknown	RESISTOR	0402	2.2k	
C308	unknown	CAPACITOR	0402	330p	
U302	unknown	ad8342	QFN16_3_EP	unknown	
C306	unknown	CAPACITOR	0603	10u	
U303	unknown	GD32F303CCT6	LQFP48_7	unknown	
